Bug Id,Training Time (s),Time (s),Total Time (s),25%,,,,,Time (s),Total Time (s),50%,,,,,Time (s),Total Time (s),75%,,,,,Time (s),Total Time (s),100%,,,,
60831731,1.41,4.55,5.96,FALSE,FALSE,FALSE,FALSE,FALSE,5.32,6.73,FALSE,FALSE,FALSE,FALSE,FALSE,7.22,8.63,FALSE,FALSE,FALSE,FALSE,FALSE,11.44,12.85,FALSE,FALSE,FALSE,FALSE,FALSE
60874661,2929.05,232.23,3161.28,FALSE,FALSE,FALSE,FALSE,FALSE,479.16,3408.21,FALSE,FALSE,FALSE,FALSE,FALSE,741.12,3670.17,FALSE,FALSE,FALSE,FALSE,FALSE,949.24,3878.29,FALSE,FALSE,FALSE,FALSE,FALSE
61234347,1.37,4510.94,4512.31,TRUE,TRUE,FALSE,FALSE,TRUE,6699.97,6701.34,TRUE,TRUE,FALSE,FALSE,TRUE,8433.18,8434.55,TRUE,TRUE,FALSE,FALSE,TRUE,12439.3,12440.67,TRUE,TRUE,FALSE,FALSE,TRUE
61274792,2799.1,276.31,3075.41,FALSE,FALSE,FALSE,FALSE,FALSE,495.95,3295.05,FALSE,FALSE,FALSE,FALSE,FALSE,795.95,3595.05,FALSE,FALSE,FALSE,FALSE,FALSE,1003.07,3802.17,FALSE,FALSE,FALSE,FALSE,FALSE
61498304,60.01,515.52,575.53,TRUE,TRUE,TRUE,TRUE,FALSE,985.72,1045.73,TRUE,TRUE,TRUE,TRUE,FALSE,1405.2,1465.21,TRUE,TRUE,TRUE,TRUE,FALSE,1847.47,1907.48,TRUE,TRUE,TRUE,TRUE,FALSE
61763616,10.04,25.85,35.89,TRUE,TRUE,TRUE,TRUE,FALSE,57.29,67.33,TRUE,TRUE,TRUE,TRUE,FALSE,95.51,105.55,TRUE,TRUE,TRUE,TRUE,FALSE,123.11,133.15,TRUE,TRUE,TRUE,TRUE,FALSE
61886777,32.33,1897.69,1930.02,FALSE,FALSE,FALSE,FALSE,FALSE,2363.02,2395.35,FALSE,FALSE,FALSE,FALSE,FALSE,3308.77,3341.1,FALSE,FALSE,FALSE,FALSE,FALSE,4078.38,4110.71,FALSE,FALSE,FALSE,FALSE,FALSE
62068109,35.17,219.19,254.36,FALSE,FALSE,FALSE,FALSE,FALSE,391.33,426.5,FALSE,FALSE,FALSE,FALSE,FALSE,574.17,609.34,FALSE,FALSE,FALSE,FALSE,FALSE,755.01,790.18,FALSE,FALSE,FALSE,FALSE,FALSE
62313327,993.31,47.02,1040.33,FALSE,FALSE,FALSE,FALSE,FALSE,90.11,1083.42,FALSE,FALSE,FALSE,FALSE,FALSE,137.39,1130.7,TRUE,TRUE,FALSE,FALSE,FALSE,170.46,1163.77,TRUE,TRUE,FALSE,FALSE,TRUE
62957334,10.01,38.09,48.1,TRUE,TRUE,TRUE,TRUE,TRUE,61.79,71.8,TRUE,TRUE,TRUE,TRUE,TRUE,96.23,106.24,TRUE,TRUE,TRUE,TRUE,TRUE,128.59,138.6,TRUE,TRUE,TRUE,TRUE,TRUE
44164749,0.14,222.52,222.66,FALSE,FALSE,FALSE,FALSE,TRUE,430.86,431,FALSE,FALSE,FALSE,FALSE,TRUE,642.22,642.36,FALSE,FALSE,FALSE,FALSE,TRUE,863.96,864.1,FALSE,FALSE,FALSE,FALSE,TRUE
44755431,2243.06,225.92,2468.98,FALSE,FALSE,FALSE,FALSE,FALSE,506.41,2749.47,FALSE,FALSE,FALSE,FALSE,FALSE,778.8,3021.86,FALSE,FALSE,FALSE,FALSE,FALSE,1042.11,3285.17,FALSE,FALSE,FALSE,FALSE,FALSE
44758894,0.22,15.14,15.36,FALSE,FALSE,FALSE,FALSE,FALSE,31.72,31.94,FALSE,FALSE,FALSE,FALSE,FALSE,46.87,47.09,FALSE,FALSE,FALSE,FALSE,FALSE,64.91,65.13,FALSE,FALSE,FALSE,FALSE,FALSE
45378493,11.38,63.45,74.83,TRUE,TRUE,FALSE,FALSE,TRUE,128.8,140.18,TRUE,TRUE,FALSE,FALSE,TRUE,194.1,205.48,TRUE,TRUE,FALSE,FALSE,TRUE,257.2,268.58,TRUE,TRUE,FALSE,FALSE,TRUE
45442843,0.38,1.48,1.86,FALSE,FALSE,FALSE,TRUE,FALSE,2.98,3.36,FALSE,FALSE,FALSE,TRUE,FALSE,4.29,4.67,FALSE,FALSE,FALSE,TRUE,FALSE,5.75,6.13,FALSE,FALSE,FALSE,TRUE,FALSE
49583466,0.47,78.85,79.32,TRUE,TRUE,TRUE,TRUE,TRUE,161.69,162.16,TRUE,TRUE,TRUE,TRUE,TRUE,239.47,239.94,TRUE,TRUE,TRUE,TRUE,TRUE,324.22,324.69,TRUE,TRUE,TRUE,TRUE,TRUE
65669308,47.11,7.43,54.54,FALSE,FALSE,FALSE,FALSE,FALSE,15.14,62.25,FALSE,FALSE,FALSE,FALSE,FALSE,22.4,69.51,FALSE,FALSE,FALSE,FALSE,FALSE,30.42,77.53,FALSE,FALSE,FALSE,FALSE,FALSE
65777704,923.22,2315.6,3238.82,TRUE,TRUE,TRUE,TRUE,TRUE,4718.93,5642.15,TRUE,TRUE,TRUE,TRUE,TRUE,7012.87,7936.09,TRUE,TRUE,TRUE,TRUE,TRUE,9517.83,10441.05,TRUE,TRUE,TRUE,TRUE,TRUE
68101077,279.36,461.77,741.13,FALSE,FALSE,FALSE,FALSE,FALSE,873.4,1152.76,FALSE,FALSE,FALSE,FALSE,FALSE,1300.97,1580.33,FALSE,FALSE,FALSE,FALSE,TRUE,1739.16,2018.52,FALSE,FALSE,FALSE,FALSE,TRUE
68458462,0.9,3.36,4.26,TRUE,TRUE,TRUE,TRUE,TRUE,7.74,8.64,TRUE,TRUE,TRUE,TRUE,TRUE,10.43,11.33,TRUE,TRUE,TRUE,TRUE,TRUE,12.91,13.81,TRUE,TRUE,TRUE,TRUE,TRUE
68751439,6.3,162.43,168.73,TRUE,TRUE,FALSE,FALSE,TRUE,398.75,405.05,TRUE,TRUE,FALSE,FALSE,TRUE,557.04,563.34,TRUE,TRUE,FALSE,FALSE,TRUE,659.92,666.22,TRUE,TRUE,FALSE,FALSE,TRUE
68773774,3.38,238.82,242.2,FALSE,FALSE,FALSE,FALSE,FALSE,441.12,444.5,FALSE,FALSE,FALSE,FALSE,FALSE,648.78,652.16,FALSE,FALSE,FALSE,FALSE,FALSE,878.98,882.36,FALSE,FALSE,FALSE,FALSE,FALSE
68938619,4.36,9.52,13.88,TRUE,TRUE,FALSE,FALSE,FALSE,18.5,22.86,TRUE,TRUE,FALSE,FALSE,FALSE,29.11,33.47,TRUE,TRUE,FALSE,FALSE,FALSE,41.87,46.23,TRUE,TRUE,FALSE,FALSE,FALSE
69787272,0.66,25.02,25.68,FALSE,TRUE,FALSE,FALSE,TRUE,56.15,56.81,FALSE,TRUE,FALSE,FALSE,TRUE,78.44,79.1,FALSE,TRUE,FALSE,FALSE,TRUE,118.23,118.89,FALSE,TRUE,FALSE,FALSE,TRUE
69901379,5.25,32.74,37.99,TRUE,TRUE,TRUE,TRUE,TRUE,68.13,73.38,TRUE,TRUE,TRUE,TRUE,TRUE,108.25,113.5,TRUE,TRUE,TRUE,TRUE,TRUE,150.97,156.22,TRUE,TRUE,TRUE,TRUE,TRUE
70589997,54.33,23.75,78.08,TRUE,TRUE,FALSE,FALSE,FALSE,45.14,99.47,TRUE,TRUE,FALSE,FALSE,FALSE,57.99,112.32,TRUE,TRUE,FALSE,FALSE,TRUE,77.15,131.48,TRUE,TRUE,FALSE,FALSE,TRUE
70650848,1.2,8.23,9.43,FALSE,FALSE,FALSE,FALSE,FALSE,12.16,13.36,FALSE,FALSE,FALSE,FALSE,TRUE,20.66,21.86,FALSE,FALSE,FALSE,FALSE,TRUE,26.38,27.58,FALSE,FALSE,FALSE,FALSE,TRUE
46247619,1690.27,142.18,1832.45,FALSE,FALSE,FALSE,FALSE,FALSE,280.09,1970.36,FALSE,FALSE,FALSE,FALSE,FALSE,445.51,2135.78,FALSE,FALSE,FALSE,FALSE,FALSE,599.62,2289.89,FALSE,FALSE,FALSE,FALSE,FALSE
46869312,5.12,731.91,737.03,TRUE,TRUE,FALSE,FALSE,TRUE,1547.62,1552.74,TRUE,TRUE,FALSE,FALSE,TRUE,2184.34,2189.46,TRUE,TRUE,FALSE,FALSE,TRUE,2533.93,2539.05,TRUE,TRUE,FALSE,FALSE,TRUE
47241622,82.34,N/A,N/A,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,N/A,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,N/A,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,N/A,FALSE,FALSE,FALSE,FALSE,FALSE
51901386,34.08,1096.88,1130.96,FALSE,FALSE,FALSE,FALSE,TRUE,780.82,814.9,FALSE,FALSE,FALSE,FALSE,TRUE,940.98,975.06,FALSE,FALSE,FALSE,FALSE,TRUE,1398.91,1432.99,FALSE,FALSE,FALSE,FALSE,TRUE
54282951,51.17,26.18,77.35,TRUE,TRUE,FALSE,FALSE,TRUE,24.31,75.48,FALSE,TRUE,FALSE,FALSE,TRUE,33.21,84.38,FALSE,TRUE,FALSE,FALSE,TRUE,44.14,95.31,FALSE,TRUE,FALSE,FALSE,TRUE
56218256,23.44,67.93,91.37,TRUE,TRUE,TRUE,TRUE,TRUE,124.12,147.56,TRUE,TRUE,TRUE,TRUE,TRUE,209.6,233.04,TRUE,TRUE,TRUE,TRUE,TRUE,446.8,470.24,TRUE,TRUE,TRUE,TRUE,TRUE
56888491,40627.44,677.13,41304.57,FALSE,FALSE,FALSE,FALSE,FALSE,1620.48,42247.92,FALSE,FALSE,FALSE,FALSE,FALSE,2223.74,42851.18,FALSE,FALSE,FALSE,FALSE,FALSE,2739.52,43366.96,FALSE,FALSE,FALSE,FALSE,FALSE
64395424,47.3,79.86,127.16,FALSE,FALSE,FALSE,FALSE,FALSE,138.14,185.44,FALSE,FALSE,FALSE,FALSE,FALSE,230,277.3,FALSE,FALSE,FALSE,FALSE,FALSE,232.18,279.48,FALSE,FALSE,FALSE,FALSE,FALSE
64413907,3.22,143.87,147.09,TRUE,TRUE,TRUE,TRUE,TRUE,334.3,337.52,TRUE,TRUE,TRUE,TRUE,TRUE,420.09,423.31,TRUE,TRUE,TRUE,TRUE,TRUE,608.03,611.25,TRUE,TRUE,TRUE,TRUE,TRUE
66087653,262.48,160.77,423.25,TRUE,TRUE,FALSE,FALSE,TRUE,307.08,569.56,TRUE,TRUE,FALSE,FALSE,TRUE,410.75,673.23,TRUE,TRUE,FALSE,FALSE,TRUE,388.78,651.26,TRUE,TRUE,FALSE,FALSE,TRUE
58392266,3.1,132.67,135.77,TRUE,TRUE,FALSE,FALSE,TRUE,205.32,208.42,TRUE,TRUE,FALSE,FALSE,TRUE,460.88,463.98,TRUE,TRUE,FALSE,FALSE,TRUE,736.46,739.56,TRUE,TRUE,FALSE,FALSE,TRUE
58844149,17.26,147.41,164.67,TRUE,TRUE,FALSE,FALSE,TRUE,212.96,230.22,TRUE,TRUE,FALSE,FALSE,TRUE,278.13,295.39,TRUE,TRUE,FALSE,FALSE,TRUE,512.96,530.22,TRUE,TRUE,FALSE,FALSE,TRUE
59078187,0.19,91.81,92,FALSE,FALSE,FALSE,FALSE,FALSE,197.14,197.33,FALSE,FALSE,FALSE,FALSE,FALSE,278.86,279.05,FALSE,FALSE,FALSE,FALSE,FALSE,387.22,387.41,FALSE,FALSE,FALSE,FALSE,FALSE
60508218,78.1,210.71,288.81,TRUE,TRUE,TRUE,TRUE,FALSE,597.74,675.84,TRUE,TRUE,TRUE,TRUE,FALSE,600.29,678.39,TRUE,TRUE,TRUE,TRUE,FALSE,709.94,788.04,TRUE,TRUE,TRUE,TRUE,FALSE
60801900,41.05,N/A,N/A,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,N/A,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,N/A,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,N/A,FALSE,FALSE,FALSE,FALSE,FALSE
61997645,5.08,9.95,15.03,FALSE,FALSE,FALSE,FALSE,FALSE,37.66,42.74,TRUE,TRUE,FALSE,FALSE,TRUE,73.77,78.85,TRUE,TRUE,FALSE,FALSE,TRUE,112.89,117.97,TRUE,TRUE,FALSE,FALSE,TRUE
62055783,384.01,54.02,438.03,FALSE,FALSE,FALSE,FALSE,FALSE,116.82,500.83,FALSE,FALSE,FALSE,FALSE,FALSE,158.37,542.38,FALSE,FALSE,FALSE,FALSE,FALSE,274.64,658.65,FALSE,FALSE,FALSE,FALSE,FALSE
66235657,261.07,168.64,429.71,FALSE,FALSE,FALSE,FALSE,FALSE,348.6,609.67,FALSE,FALSE,FALSE,FALSE,FALSE,396.09,657.16,FALSE,FALSE,FALSE,FALSE,FALSE,551.91,812.98,FALSE,FALSE,FALSE,FALSE,FALSE
66407123,20.21,101.52,121.73,TRUE,TRUE,FALSE,FALSE,TRUE,237.54,257.75,TRUE,TRUE,FALSE,FALSE,TRUE,370.08,390.29,TRUE,TRUE,FALSE,FALSE,TRUE,544.99,565.2,TRUE,TRUE,FALSE,FALSE,TRUE
66602662,3.21,170.7,173.91,FALSE,FALSE,FALSE,FALSE,FALSE,344.78,347.99,FALSE,FALSE,FALSE,FALSE,FALSE,555.29,558.5,FALSE,FALSE,FALSE,FALSE,FALSE,603.06,606.27,FALSE,FALSE,FALSE,FALSE,FALSE
66840108,7.31,51.25,58.56,FALSE,FALSE,FALSE,FALSE,FALSE,97.45,104.76,FALSE,FALSE,FALSE,FALSE,FALSE,148.92,156.23,FALSE,FALSE,FALSE,FALSE,FALSE,168.57,175.88,FALSE,FALSE,FALSE,FALSE,FALSE
62440336,7265.16,683.38,7948.54,FALSE,FALSE,FALSE,FALSE,FALSE,1061.01,8326.17,FALSE,FALSE,FALSE,FALSE,FALSE,1646.69,8911.85,FALSE,FALSE,FALSE,FALSE,FALSE,2365.01,9630.17,FALSE,FALSE,FALSE,FALSE,FALSE
63212385,230.13,460.84,690.97,TRUE,TRUE,FALSE,FALSE,FALSE,975.95,1206.08,TRUE,TRUE,FALSE,FALSE,TRUE,821.49,1051.62,TRUE,TRUE,FALSE,FALSE,TRUE,1212.7,1442.83,TRUE,TRUE,FALSE,FALSE,TRUE
64237179,542.19,189.97,732.16,FALSE,FALSE,FALSE,FALSE,FALSE,434.08,976.27,FALSE,FALSE,FALSE,FALSE,FALSE,529.54,1071.73,FALSE,FALSE,FALSE,FALSE,FALSE,679.51,1221.7,FALSE,FALSE,FALSE,FALSE,FALSE
64387251,325.38,384.2,709.58,FALSE,TRUE,FALSE,FALSE,TRUE,1482.74,1808.12,FALSE,TRUE,FALSE,FALSE,TRUE,3701.9,4027.28,FALSE,TRUE,FALSE,FALSE,TRUE,3977.68,4303.06,FALSE,TRUE,FALSE,FALSE,TRUE
67529687,357.1,1348.17,1705.27,FALSE,FALSE,FALSE,FALSE,FALSE,826.98,1184.08,FALSE,FALSE,FALSE,FALSE,FALSE,1072.19,1429.29,FALSE,FALSE,FALSE,FALSE,FALSE,1348.02,1705.12,FALSE,FALSE,FALSE,FALSE,FALSE
68321264,77.27,79.48,156.75,TRUE,TRUE,TRUE,TRUE,TRUE,184.75,262.02,TRUE,TRUE,TRUE,TRUE,TRUE,279.49,356.76,TRUE,TRUE,TRUE,TRUE,TRUE,363.89,441.16,TRUE,TRUE,TRUE,TRUE,TRUE
68701979,2.25,115.95,118.2,FALSE,TRUE,FALSE,TRUE,FALSE,192.53,194.78,FALSE,TRUE,FALSE,TRUE,FALSE,228.53,230.78,FALSE,TRUE,FALSE,TRUE,FALSE,252.14,254.39,FALSE,TRUE,FALSE,TRUE,FALSE
70148149,9.04,56.99,66.03,FALSE,FALSE,FALSE,FALSE,FALSE,63.67,72.71,FALSE,FALSE,FALSE,FALSE,FALSE,130.78,139.82,FALSE,FALSE,FALSE,FALSE,FALSE,93.45,102.49,FALSE,FALSE,FALSE,FALSE,FALSE